node,degree,strength,entropy,entropy_norm,kappa,C_ent,valence_centered,arousal_raw,dominance_raw,x,y,radius,embedding_engine,n_local,local_edges,mean_degree_local,eta_local_raw,node_index,log_degree_raw,feature_kappa,feature_entropy_norm,feature_c_ent,feature_valence,feature_poincare_x,feature_poincare_y,feature_log_degree,feature_eta_local
bible,3,0.40404040404040376,0.9972715231823841,0.9077556599985014,0.013889000000000004,0.0012811816382808146,0.185,3.65,5.0,0.08421439726460464,-0.8037346968130955,0.8081345974328035,gensim_poincare,4,4,2.0,1.0,32,1.0986122886681098,0.013889,0.9077557,0.0025623632,0.185,0.0842144,-0.8037347,-0.14336532,-0.298027
big,6,1.3873737373737371,1.2737031993648833,0.7108672906378632,-0.2416665,-0.06987368990706483,0.1599999999999999,4.33,5.61,-0.3841033649197808,0.4945071423157548,0.6261570958984594,gensim_poincare,7,9,2.5714285714285716,0.9446064139941692,33,1.791759469228055,-0.2416665,0.7108673,-0.13974738,0.16,-0.38410336,0.49450713,0.397111,-0.3555489
bird,2,0.42080808080808085,0.48915417497853353,0.7057003024716626,-0.15,-0.04414495462925061,0.4375,3.83,5.88,-0.23648154296247398,0.6564519918645028,0.6977483341325765,gensim_poincare,3,2,1.3333333333333333,0.5925925925925926,34,0.6931471805599453,-0.15,0.7057003,-0.08828991,0.4375,-0.23648155,0.656452,-0.45952368,-0.72108763
birthday,4,0.760909090909091,1.324735600385653,0.9555947405827225,-0.275,-0.012211446339751304,0.3425,4.6,6.07,-0.3700383142776952,-0.3376269394098739,0.5009194588441909,gensim_poincare,5,4,1.6,0.5120000000000001,35,1.3862943611198906,-0.275,0.9555947,-0.024422893,0.3425,-0.3700383,-0.33762693,0.080952615,-0.8047767
black,3,1.2502020202020199,0.73468356709099,0.668737801924349,-0.369048,-0.12225165167542286,0.1,3.58,5.48,0.20914675484666667,0.21184664685535023,0.2976934108218507,gensim_poincare,4,3,1.5,0.5625,36,1.0986122886681098,-0.369048,0.6687378,-0.2445033,0.1,0.20914675,0.21184665,-0.14336532,-0.75233644
blood,1,0.302424242424242,-0.0,0.0,0.2,0.2,-0.38,5.76,3.94,-0.11394657379941031,-0.5249917305031769,0.5372151699061977,gensim_poincare,2,1,1.0,0.5,37,0.0,0.2,0.0,0.4,-0.38,-0.11394657,-0.52499175,-1.0,-0.8172378
blue,8,1.1424242424242428,1.939854118261458,0.9328726388212795,-0.5572917500000001,-0.03740952458417124,0.3825,3.69,5.79,-0.12619883174045343,-0.5782227732024074,0.5918342002474494,gensim_poincare,9,10,2.2222222222222223,0.5486968449931413,38,2.0794415416798357,-0.55729175,0.93287265,-0.07481905,0.3825,-0.12619883,-0.57822275,0.6214289,-0.7666699
board,4,0.4308080808080808,1.3479169114265566,0.9723165218227307,-0.34722225,-0.009612319580537362,0.0825,3.52,5.37,-0.6247141677909166,-0.41686398208060943,0.7510282091871118,gensim_poincare,5,4,1.6,0.5120000000000001,39,1.3862943611198906,-0.34722224,0.9723165,-0.01922464,0.0825,-0.6247142,-0.41686398,0.080952615,-0.8047767
boat,2,0.8,0.5331638407372986,0.7691928290130138,0.041666499999999995,0.00961692698992926,0.3400000000000001,4.05,5.59,0.25072302944627894,0.7252229236551205,0.7673397725190585,gensim_poincare,3,2,1.3333333333333333,0.5925925925925926,40,0.6931471805599453,0.0416665,0.7691928,0.019233854,0.34,0.25072303,0.72522295,-0.45952368,-0.72108763
body,1,0.1,-0.0,0.0,0.333333,0.333333,0.2375,4.62,5.76,0.6408479855080685,-0.47316201017494397,0.7965980343953551,gensim_poincare,2,1,1.0,0.5,41,0.0,0.333333,0.0,0.666666,0.2375,0.640848,-0.473162,-1.0,-0.8172378
bone,1,0.0606060606060606,-0.0,0.0,0.142857,0.142857,0.06,4.75,6.0,0.06334325855161517,0.31824587625609463,0.32448853008688344,gensim_poincare,2,1,1.0,0.5,42,0.0,0.142857,0.0,0.285714,0.06,0.06334326,0.3182459,-1.0,-0.8172378
book,2,0.39222222222222203,0.6842570787954783,0.9871742942714052,-0.0833335,-0.0010688109483338515,0.5125,3.13,6.41,0.02771929700651328,-0.43494912010340253,0.435831500129648,gensim_poincare,3,2,1.3333333333333333,0.5925925925925926,43,0.6931471805599453,-0.0833335,0.9871743,-0.0021376219,0.5125,0.027719297,-0.43494913,-0.45952368,-0.72108763
books,1,0.14,-0.0,0.0,0.25,0.25,0.0,5.0,5.0,0.35507203939061355,-0.3283445590262346,0.4836179303945852,gensim_poincare,2,1,1.0,0.5,44,0.0,0.25,0.0,0.5,0.0,0.35507205,-0.32834455,-1.0,-0.8172378
boring,1,0.0707070707070707,-0.0,0.0,0.25,0.25,-0.5725,2.85,6.05,0.23869618619925953,-0.11096393136621092,0.26322777849291806,gensim_poincare,2,1,1.0,0.5,45,0.0,0.25,0.0,0.5,-0.5725,0.23869619,-0.11096393,-1.0,-0.8172378
boss,3,0.2174744897959184,1.0907989664844406,0.9928880076581507,-0.21111133333333335,-0.0015014221859442696,-0.06,4.43,4.65,0.35931282013444965,-0.15597995002193255,0.3917083705026176,gensim_poincare,4,3,1.5,0.5625,46,1.0986122886681098,-0.21111134,0.99288803,-0.0030028443,-0.06,0.35931283,-0.15597995,-0.14336532,-0.75233644
box,2,0.28,0.5195798391305153,0.7495952572594798,-0.25,-0.06260118568513004,0.0825,2.67,4.67,-0.10587990461081934,-0.16855669974362422,0.19905254388944266,gensim_poincare,3,2,1.3333333333333333,0.5925925925925926,47,0.6931471805599453,-0.25,0.7495953,-0.12520237,0.0825,-0.1058799,-0.1685567,-0.45952368,-0.72108763
boy,3,1.17,0.40177264935094753,0.36570922562502195,-0.44127,-0.27989349000844654,0.2099999999999999,4.11,5.5,0.41303327562037456,-0.5290760279238838,0.6712063245332321,gensim_poincare,4,3,1.5,0.5625,48,1.0986122886681098,-0.44127,0.36570922,-0.559787,0.21,0.41303328,-0.52907604,-0.14336532,-0.75233644
