words,type,token,indegree_unw,outdegree_unw,degree_unw,indegree_wei,outdegree_wei,cc_unw,cc_wei,pageRank_unw,pageRank_wei,hubs_unw,hubs_wei,authorities_unw,authorities_wei,incloseness_unw,outcloseness_unw,incloseness_wei,outcloseness_wei,betweenness_unw,betweenness_wei
上天,16,18,16,14,30,0.452066281681425,1,0.0428240740740741,0.00228962087442453,9.16075952409182e-05,5.36549032044035e-05,3.1238497651707e-05,2.53892004568782e-05,4.94634932469314e-05,1.00024664675763e-05,2.88234276820199e-05,2.66304492556789e-05,3.10594185298352e-05,2.87199590782047e-05,23370.2881549037,25991.5
上学,61,81,61,29,90,1.912632999925,1,0.0541656242181636,0.00196375737053321,0.000477693794754558,0.000306945876963136,0.000285776869313217,0.000296982416637687,0.000347335256858729,0.000164399874923752,3.50803339647793e-05,2.81381018036523e-05,3.75547475150239e-05,2.98556114536411e-05,90313.3142942747,61684
上市,5,5,5,13,18,0.129653693155658,1,0.0960264900662252,0.00560807491042179,7.33812933114071e-05,4.66112573498438e-05,5.67847434390792e-05,0.000299062434097019,1.95022166463432e-05,4.16143623278337e-05,2.88234276820199e-05,2.61869222510278e-05,3.10437267107163e-05,2.87072928941675e-05,21099.1295082455,22751
上帝,40,97,40,25,65,2.30681178423167,1,0.0631934394597202,0.00347650994922871,0.000130134586046022,0.000156954239046017,6.65951171154103e-05,9.32530761915235e-06,0.000181563234011852,0.00010179468697624,2.98275964922747e-05,2.79728104282637e-05,3.22596614033071e-05,2.97516248803439e-05,49413.8316584754,49993
上床,14,17,14,13,27,0.434294324045389,1,0.121037463976945,0.00532795060067555,0.000138748734508441,0.000101326724415916,5.4344787784256e-05,5.07690896857759e-05,6.88973123865533e-05,1.36960747324392e-05,2.97778571853969e-05,2.58324507246002e-05,3.22023564850665e-05,2.85241465861344e-05,13810.941263913,12076
上海,83,138,83,17,100,3.5572959752287,1,0.0314777327935223,0.00189298950027161,0.00032517753333016,0.000373926731881684,4.11976788862312e-05,4.29029356756391e-05,0.000334394446462661,0.000390580894089302,3.3318895145437e-05,2.67537053881963e-05,3.61054527432449e-05,2.87234311865666e-05,84793.4326022743,94786.5
上涨,14,36,14,14,28,0.888910029863491,1,0.118598382749326,0.00744235841089217,8.29621451570789e-05,8.12143883716672e-05,4.38709278752421e-05,0.000166561490976191,5.78835281751727e-05,0.000874702524556006,2.79548250027955e-05,2.62267565370191e-05,3.01560514414135e-05,2.84913975532327e-05,17663.351541983,19907.8333333333
上火,15,19,15,19,34,0.524970365568088,1,0.0422661870503597,0.00227073940921794,6.44582663935376e-05,4.81435167419051e-05,3.75371059085532e-05,8.36128263689776e-06,6.05677052826233e-05,1.35784749119395e-05,2.82581666101503e-05,2.65132433650608e-05,3.02644992690228e-05,2.83626465895254e-05,37283.8418939875,38822.5
上班,73,134,73,26,99,3.15931266768457,1,0.0495662949194548,0.00226175816192669,0.000371561504174352,0.000374942859047871,0.000144897486859659,0.000130972446390966,0.000429850396980453,0.000430458608022991,3.47850285237234e-05,2.7880781777121e-05,3.73632002347489e-05,2.96585224643904e-05,99274.5350206931,85933.1666666667
上瘾,14,16,14,19,33,0.409743604119772,1,0.0763358778625954,0.00411824589372537,0.000147285658340479,0.000101520095453349,9.84569473112932e-05,4.97182151065195e-05,5.90609553801732e-05,0.0001107095071261,3.13942171851945e-05,2.71340967059207e-05,3.37736508429386e-05,2.93072352873239e-05,41892.4577067759,46394.5
上等,2,4,2,24,26,0.0925531914893617,1,0.0526315789473684,0.00226655692459136,1.96834224864693e-05,1.76909318504641e-05,0.000173915896577989,0.000105395381642606,6.08919156371804e-06,2.177860097565e-06,2.21709826179496e-05,2.80741156653565e-05,2.35408538002027e-05,3.00979332386501e-05,2861.83666108144,2717
上级,16,38,16,19,35,0.883865884040304,1,0.0957627118644068,0.00578106713236099,5.58841342072764e-05,5.62217111399947e-05,6.03127938704744e-05,3.21509518861209e-05,9.67240426929633e-05,2.99098276255883e-05,2.8030833917309e-05,2.75201585161131e-05,2.98716265171519e-05,2.96092147377325e-05,22049.560995832,23889
上网,20,29,20,21,41,0.696657572353915,1,0.079656862745098,0.00411932082068578,0.000131789290963381,0.000111233015383648,0.000120780383423708,0.00014930946574121,7.87847393380428e-05,3.55796228307946e-05,3.08985292300087e-05,2.75269764369082e-05,3.35168082442161e-05,2.9451611398807e-05,30839.8135607996,31369.8333333333
上衣,8,9,8,19,27,0.246372610820285,1,0.148997134670487,0.00884299098914292,7.74669303360952e-05,6.12028536624927e-05,5.65769543622904e-05,6.62366553713489e-05,2.88719332652958e-05,1.57174041901668e-05,2.93625392723963e-05,2.62515422781088e-05,3.14508930879858e-05,2.80977980902805e-05,17121.0402893512,11697
上课,106,231,106,23,129,5.65690996626256,1,0.0356579745300182,0.0016725303326921,0.000547890917284949,0.00047195938009866,0.000188431385031222,6.35989175740398e-05,0.000627028366544922,0.000263577565606581,3.54358610914245e-05,2.75277341921986e-05,3.82180689124583e-05,2.93267032655474e-05,101120.186044907,99260
上进,2,6,2,24,26,0.146929824561404,1,0.137770897832817,0.00766043289660294,5.71656477444908e-05,5.92220512443001e-05,0.000137329537703499,4.98938511575171e-05,1.08756666097184e-05,7.29789643387655e-06,2.79423270369956e-05,2.77261762830288e-05,2.99719148241884e-05,2.95424279512238e-05,10710.8537112545,9378.5
