Responses,Types_R1,Tokens_R1,Hapax_R1,Types_R123,Tokens_R123,Hapax_R123
重男轻女,7,7,7,26,33,21
小孩,218,423,147,499,1038,318
成熟,49,101,33,122,269,84
绝望,56,81,41,238,380,178
绝育,1,1,1,3,3,3
子女,28,45,19,82,122,64
酷,47,61,39,107,157,85
不育,1,1,1,1,1,1
选择,58,103,44,209,355,163
个人选择,1,1,1,2,2,2
双人,5,5,5,14,16,13
偏见,25,50,20,74,126,58
九,6,20,3,11,42,6
八,8,26,6,15,51,8
幸运,26,46,15,94,156,70
葫芦娃,5,23,4,15,45,13
七上八下,6,8,4,11,19,8
四十九,1,1,1,1,1,1
仙女,20,35,14,55,96,39
小矮人,5,16,4,15,38,12
上,31,83,23,77,154,61
七天,11,15,8,14,29,8
柒个我,1,1,1,1,1,1
最喜欢的数字,1,1,1,1,1,1
七月,1,2,0,5,13,3
七夕,3,4,2,6,13,4
周易,5,5,5,8,12,6
七零八落,3,4,2,4,5,3
大姑,1,1,1,2,2,2
祥云,5,10,4,9,19,7
彩虹,39,88,25,98,230,61
七仙女,1,2,0,6,9,5
眼泪,82,158,58,209,441,142
泡沫,42,73,28,105,215,69
五颜六色,21,34,15,67,134,41
多彩,14,29,10,37,57,31
colorful,3,3,3,4,4,4
霞光,1,1,1,3,3,3
斑斓,11,25,9,19,47,15
七彩祥云,2,2,2,2,2,2
五色,1,1,1,4,4,4
色彩,64,140,44,173,343,116
光芒,31,73,20,69,143,52
霓裳,3,5,2,3,6,2
彩色,66,102,43,184,305,125
角色,22,55,15,42,106,29
云朵,24,40,18,66,101,52
灯,62,132,39,142,312,97
玛丽苏文,1,1,1,1,1,1
六根清净,1,1,1,1,1,1
色欲,3,3,3,11,11,11
繁殖,9,14,7,29,45,23
欲望,65,152,36,176,364,123
吃喝玩乐,7,7,7,19,19,19
三姑六婆,2,2,2,5,6,4
佛教,45,104,22,93,230,51
凡人,11,14,9,20,29,13
和尚,49,159,33,104,304,68
佛家,6,6,6,11,13,9
七荤八素,2,2,2,2,2,2
正常,51,79,43,107,162,88
情欲,7,9,5,14,22,10
佛学,6,7,5,11,12,10
僧人,11,16,7,20,37,11
人之常情,3,3,3,12,13,11
凡夫俗子,3,3,3,3,4,2
普通人,11,13,9,30,43,23
周星驰,12,19,9,33,59,24
性欲,13,17,10,27,36,22
五光十色,8,13,7,16,31,12
欲擒故纵,2,2,2,2,2,2
贪心,6,10,4,12,20,8
情感,83,125,67,266,371,217
佛,30,44,22,56,96,38
圣人,12,30,8,26,56,21
喜怒哀乐,3,3,3,9,10,8
五脏六腑,3,3,3,6,8,4
七窍流血,1,1,1,1,1,1
唐僧,18,26,13,37,89,22
需求,26,42,22,63,97,56
万般皆空,1,1,1,1,1,1
禁忌,11,13,9,23,26,20
五花八门,4,4,4,6,6,6
北斗,6,24,4,13,38,10
天山,4,4,4,7,9,5
瓢虫,7,19,3,10,39,4
星星,89,273,53,203,570,127
七龙珠,1,1,1,2,4,1
连珠,1,4,0,3,9,2
宝剑,7,9,6,16,25,11
勺子,31,81,21,76,187,48
北斗七星,2,4,1,3,7,2
七星瓢虫,6,18,3,10,29,4
级别,12,17,10,30,39,26
龙珠,4,5,3,11,14,10
奎木狼,1,1,1,1,1,1
香烟,28,91,16,56,159,39
宝塔,3,4,2,4,7,3
七星公社,1,1,1,1,1,1
三营门,1,1,1,1,1,1
星宿,3,3,3,6,7,5
帆船酒店,1,1,1,2,2,2
SSR,8,15,6,14,31,10
繁华,22,34,16,64,139,44
烟火,14,19,11,47,65,40
感慨,8,13,6,19,33,13
金钱,259,474,163,571,1193,340
万紫千红,2,3,1,2,5,1
思绪,13,14,12,46,50,42
不要,66,113,51,155,244,127
少女,122,226,90,261,513,192
庞大,34,57,23,87,138,64
众多,15,20,13,36,43,33
精彩,26,28,24,81,103,64
数目,17,21,15,34,41,30
嫣红,1,1,1,1,1,1
百里挑一,1,1,1,2,2,2
宠爱,8,18,5,26,51,20
万千宠爱,1,1,1,1,1,1
千万,5,10,3,7,18,4
百货,5,6,4,9,13,6
紫红,2,2,2,3,4,2
红紫,1,1,1,1,1,1
女性,267,480,182,545,1078,345
紫花,1,1,1,1,1,1
万千少女,1,1,1,1,1,1
小心,35,77,29,135,223,110
万千心理,1,1,1,1,1,1
多少,20,31,16,72,103,60
炮火,7,8,6,27,38,21
别,12,16,10,26,32,24
南瓜,7,39,2,16,77,7
鬼怪,22,31,16,60,90,42
南瓜灯,2,7,0,3,12,1
火鸡,13,44,10,18,69,13
不给糖就捣蛋,1,1,1,1,2,0
化妆游行,1,1,1,1,1,1
万圣龙娘,1,1,1,1,1,1
鬼魅,4,4,4,7,7,7
妖魔鬼怪,4,6,3,9,12,8
不过,5,6,4,14,22,9
鬼脸,9,14,7,10,23,5
南瓜王,1,1,1,1,1,1
西方,40,55,34,124,195,92
鬼,80,157,55,155,347,98
鬼节,1,1,1,3,3,3
面具,29,50,21,80,147,57
捣蛋,8,30,4,17,55,7
国外,30,59,22,97,151,79
皇帝,84,226,42,136,456,72
民国,22,26,19,78,122,62
天朝,9,11,8,15,20,12
九五至尊,2,2,2,4,4,4
欢呼,14,49,7,39,94,28
ea4cc7a652b97653fdc742e514102ddb,12,23,8,24,44,16
皇上,35,91,18,69,169,45
个人崇拜,2,2,2,2,4,0
毛主席,17,34,10,49,85,34
喜悦,34,43,29,127,195,94
共产主义,20,35,15,41,93,27
长命,1,1,1,4,4,4
希特勒,14,63,6,34,140,22
妄想,15,38,12,55,92,47
皇都,1,1,1,1,1,1
假期,31,52,21,82,142,57
主君,2,4,1,2,4,1
天安门,21,35,15,55,131,37
帝,2,2,2,3,3,3
春季赛,1,1,1,1,1,1
万岁万岁万万岁,2,2,2,2,2,2
日本,215,583,130,447,1277,289
摇滚,18,41,13,59,108,45
三胞胎,2,3,1,2,3,1
yeah,3,4,2,3,4,2
庆祝,24,38,16,68,119,49
吾皇,1,1,1,1,2,0
牛顿,27,119,14,51,211,30
耽美,16,18,14,58,72,51
小说,196,490,129,484,1184,327
物理,140,354,81,297,913,164
下落,12,14,10,20,28,15
霍金,9,46,5,20,76,11
电影,269,755,170,678,1740,437
吸引,18,30,13,65,102,52
科学,152,253,108,354,662,235
小雀斑,2,2,2,3,4,2
神奇,39,61,29,100,176,73
重力,14,26,10,36,77,23
生长,20,51,12,66,120,49
生灵,3,3,3,9,9,9
道教,9,13,6,22,36,14
有灵,1,1,1,2,2,2
世间万物,1,1,1,2,2,2
初生,1,1,1,3,3,3
复苏,4,12,1,12,34,5
众生,5,5,5,14,18,12
刺客信条,6,10,5,15,24,12
春天,97,278,54,231,691,131
苍生,1,1,1,3,4,2
万事,1,1,1,4,5,3
互联,1,1,1,3,3,3
万达,4,5,3,8,12,6
草地,83,121,61,194,321,138
造句,12,15,9,23,32,18
安静,111,268,75,314,704,218
灵长,1,1,1,2,2,2
两仪,2,2,2,4,4,4
皆苦,1,1,1,1,1,1
绿,70,108,50,166,288,110
自然,96,127,88,314,465,247
玄妙,1,1,1,6,6,6
天地,15,24,13,40,68,28
生物,92,171,65,253,520,168
世间,5,6,4,9,12,6
超人,38,87,23,68,162,44
稀少,28,38,22,55,89,42
神,39,69,24,89,155,64
钥匙,51,144,28,95,323,53
万金油,1,2,0,1,3,0
遥控,4,4,4,12,17,10
无所不能,2,3,1,9,13,6
方法,68,159,44,190,381,135
万能钥匙,1,1,1,2,2,2
万能胶,1,2,0,3,4,2
全能,3,9,1,14,26,12
胶水,15,56,8,33,120,19
药水,7,7,7,28,36,22
理由,33,59,23,74,151,54
工具,98,188,63,239,528,156
充电器,5,9,4,17,37,7
哆啦A梦,15,26,12,22,46,16
神器,6,6,6,12,12,12
万能药水,1,1,1,1,1,1
百事通,1,1,1,1,1,1
网络,129,255,84,289,631,185
互联网,37,69,25,114,184,85
机器猫,3,12,2,12,26,10
海底,17,29,8,34,73,21
长城,36,89,21,66,183,39
无云,1,4,0,2,11,0
千山,1,1,1,1,1,1
鹏,1,1,1,4,5,3
雪飘,1,1,1,1,3,0
宝马,11,18,7,29,38,24
长征,15,56,11,27,86,19
鹏程,1,1,1,1,2,0
鲲鹏,2,2,2,4,8,2
悲秋,1,1,1,2,2,2
鹏程万里,1,1,1,1,1,1
杨万里,1,3,0,2,8,1
遥远,50,113,41,165,280,139
大鹏,3,3,3,10,11,9
千里,7,8,6,10,13,8
奔腾,3,3,3,12,14,10
不远万里,1,1,1,1,1,1
外国,69,99,55,150,233,120
路,77,127,53,173,286,122
妻子,26,63,17,69,155,52
老婆,38,112,29,88,194,71
真好,21,26,19,34,42,30
男性,112,174,90,277,434,209
老公,42,75,35,76,139,59
阿卷,1,1,1,1,1,1
老外,5,7,3,12,15,10
男,95,157,80,205,323,163
责任,72,222,48,300,657,218
大丈夫,9,15,6,16,27,12
女人,315,486,233,661,1108,456
夫君,2,3,1,2,3,1
夫人,14,32,7,31,70,22
先生,28,53,18,48,107,34
不存在的,10,10,10,21,22,20
暴力,99,171,75,259,529,166
小三,20,60,11,46,125,34
第三者,11,16,6,23,36,17
品,19,36,11,29,53,17
四,7,22,5,13,44,6
印度,31,43,26,72,119,55
手指,70,146,47,161,340,116
地三鲜,1,1,1,1,1,1
三生万物,1,1,1,3,4,2
三角形,39,79,24,69,191,38
三个,9,18,6,21,41,16
三八妇女节,2,2,2,3,4,2
三年,3,5,2,3,5,2
山,132,233,90,276,525,181
三人行,3,4,2,4,6,3
三个人,3,4,2,5,6,4
科幻,29,48,22,86,152,58
刘慈欣,3,14,2,5,21,4
球状闪电,1,1,1,2,2,2
大刘,1,2,0,1,4,0
拯救人类,1,1,1,1,1,1
科幻小说,4,5,3,7,9,5
天体,12,16,9,23,35,14
三维,13,25,11,23,45,20
体育,65,115,53,144,284,95
外星人,32,52,25,80,139,56
一体,3,4,2,6,7,5
三位一体,2,2,2,5,5,5
诸葛亮,22,51,13,53,115,40
曹操,22,41,11,47,108,29
东汉,3,3,3,5,5,5
周瑜,8,13,5,17,35,12
水浒,4,4,4,6,11,4
刘备,15,28,12,22,58,17
蜀国,1,1,1,2,3,1
四大名著,7,16,5,9,33,4
吴国,1,1,1,2,2,2
战乱,8,10,6,25,36,20
时代,48,92,31,110,196,81
中国,269,675,164,558,1385,356
东汉末年,1,3,0,1,3,0
演义,1,11,0,3,14,2
刘邦,1,1,1,6,6,6
三国志,1,1,1,3,6,2
咒语,6,6,6,13,17,9
三国演义,7,11,5,15,29,10
关羽,7,8,6,18,27,15
三国杀,8,19,6,15,35,12
演绎,9,11,8,18,23,14
鼎力,2,2,2,2,3,1
林俊杰,14,22,10,30,49,23
志,1,1,1,3,3,3
战争,228,716,117,494,1807,251
魏蜀吴,1,1,1,1,4,0
桌游,6,8,5,15,19,14
长江,25,70,16,57,167,37
大坝,5,40,3,11,61,7
巴东,1,1,1,1,2,0
景点,17,24,12,49,86,38
水坝,4,8,3,6,11,4
水库,5,11,3,18,40,13
水利工程,3,4,2,7,9,5
海岸,12,23,9,26,45,20
水电站,4,4,4,5,6,4
地理,55,155,37,140,346,93
发电,13,29,7,28,61,20
水电,11,12,10,21,26,16
峡谷,20,22,18,41,54,32
寿司,21,65,15,42,149,24
金枪鱼,5,12,1,15,30,11
刺身,3,8,1,14,28,10
芥末,6,7,5,14,37,7
比目鱼,3,3,3,8,9,7
生的,1,3,0,4,6,3
戈登拉姆齐,1,1,1,2,2,2
鲑鱼,4,4,4,6,6,6
挪威,6,10,4,13,21,10
易碎,16,39,10,48,111,32
油腻,41,62,35,117,206,86
粉色条纹,1,1,1,1,1,1
油煎,1,1,1,1,1,1
好吃,296,752,114,483,1686,180
生鱼片,8,12,6,11,31,5
鱼生,2,3,1,5,6,4
海鲜,40,58,31,83,200,48
鱼肉,10,10,10,26,30,22
春绯,1,1,1,1,1,1
肥腻,3,3,3,3,4,2
罐头,21,101,15,48,187,28
挪威产,1,1,1,1,1,1
不关我事,1,1,1,2,2,2
日料,11,15,8,19,44,10
沙拉,10,12,9,32,49,24
生吃,3,3,3,11,14,9
汉堡包,5,8,3,9,13,6
火腿肠,8,15,5,23,44,16
汉堡,25,59,13,58,143,40
四明治,1,1,1,1,1,1
饿,67,121,47,194,352,130
食品,54,92,44,112,199,78
火腿,9,50,4,27,89,19
主食,8,8,8,19,27,14
蔬菜,76,166,46,178,496,96
生菜,6,6,6,16,32,9
盘子,31,64,22,88,186,56
三文治,2,2,2,2,2,2
伯爵,4,12,3,9,22,6
早餐,39,78,24,82,242,45
英美,2,2,2,7,7,7
美国生活,1,1,1,1,1,1
不好吃,31,36,27,105,131,88
方便好吃,1,1,1,1,1,1
肉,132,256,82,310,710,179
鳗鱼,2,2,2,7,7,7
桃花,18,46,10,50,115,35
香香,2,2,2,6,6,6
四月,3,11,2,11,24,8
生日,49,122,31,99,284,63
开花,21,29,16,50,71,40
白羊,2,3,1,3,4,2
春风,15,42,8,43,93,31
樱花,26,47,16,74,155,54
艳阳,3,3,3,8,8,8
月份,11,21,7,18,42,11
春,15,42,9,39,76,30
五月,4,4,4,11,20,6
花开,8,11,7,16,24,12
扬州,6,10,5,15,27,10
莺时,1,1,1,1,1,1
第三个月,1,1,1,1,1,1
初春,2,2,2,7,7,7
期刊,2,2,2,9,11,8
季节,23,30,18,54,93,36
莺飞草长,1,1,1,1,1,1
冷,163,459,94,418,1146,267
双鱼座,2,2,2,5,6,4
开学,16,25,12,38,63,31
份,4,6,2,5,7,3
兔子,85,154,59,171,347,121
清明,13,38,7,38,94,26
三月,9,10,8,12,25,7
想不起来,2,2,2,3,3,3
错误,162,462,98,353,941,215
四次,1,3,0,3,8,1
界限,14,22,9,39,62,29
二次元,23,41,15,69,133,50
重复,13,28,9,74,121,56
二次,3,3,3,7,9,6
七次,1,1,1,1,1,1
进行,20,26,15,39,54,29
一日三餐,2,2,2,4,4,4
麻烦,139,184,117,519,742,410
啪啪啪,34,70,21,68,127,53
强调,9,10,8,29,37,23
球,83,179,55,157,342,107
次数,4,7,2,10,17,7
五次,1,1,1,1,4,0
药,68,153,42,171,349,117
大禹治水,2,2,2,7,8,6
精疲力尽,3,3,3,10,11,9
事不过三,2,6,1,4,13,3
早午晚餐,1,1,1,1,1,1
三思,1,1,1,3,3,3
架子鼓,13,16,10,18,39,10
犯错,59,82,44,123,221,76
三而竭,1,1,1,2,2,2
立体,10,34,6,36,96,25
动画,54,92,39,123,203,99
数学,277,952,154,460,1972,228
空间,90,151,66,227,437,147
3D电影,1,1,1,2,2,2
Bim,1,1,1,1,1,1
影像,12,12,12,26,30,22
视图,2,3,1,2,4,1
图像,8,9,7,26,31,23
作业,159,412,98,386,992,250
思考,141,297,91,414,886,275
建模,2,6,1,11,22,9
打印机,8,24,4,20,57,15
构图,6,7,5,17,20,14
三角,18,22,15,53,81,39
地图,64,118,47,146,332,98
弹球,2,3,1,4,7,2
视频,44,81,30,121,220,91
二维,2,2,2,12,18,10
三体,14,28,8,41,67,29
线代,1,1,1,8,8,8
空间感,3,3,3,3,3,3
摄影,25,54,17,79,163,54
摄像,3,4,2,12,19,7
相机,35,182,21,62,291,39
摄像机,13,22,9,21,42,11
平衡,44,81,28,89,195,62
支架,5,6,4,10,17,3
拍摄,11,18,8,24,49,14
照相机,18,35,8,27,62,14
照相,18,36,9,32,71,19
拍照,31,68,17,92,174,64
铁,69,199,49,161,406,99
火炉,14,26,12,37,55,32
工地,29,69,17,71,213,40
摄影器材,1,1,1,1,1,1
三稿噶,1,1,1,1,1,1
工人,86,226,57,192,597,101
手机,215,700,129,476,1478,276
高度,21,40,13,65,116,48
脚手架,7,7,7,13,16,10
固定,23,23,23,60,73,50
正,12,80,7,19,98,13
不正,8,30,3,13,48,8
不合,8,9,7,18,26,14
尽毁,1,1,1,1,1,1
毁三观,1,1,1,2,2,2
尽碎,1,1,1,1,1,1
谬论,2,2,2,6,6,6
世界观,9,35,4,26,81,20
人生观,3,18,0,8,44,5
价值,49,75,37,173,265,136
三个代表,4,5,3,6,9,4
不正常,5,11,4,26,39,20
三观不正,3,4,2,5,8,3
崩塌,13,20,9,20,38,11
正确,80,159,51,163,343,105
端正,18,46,10,40,87,28
五官,26,41,17,53,110,30
毁,3,3,3,7,8,6
价值观,16,51,10,51,120,42
垃圾,112,316,80,279,700,203
破碎,36,59,25,96,156,71
四关,1,1,1,1,1,1
课本,51,84,40,126,231,89
恋爱,139,213,107,331,569,232
三角恋,2,7,1,6,14,4
三角函数曲线,1,1,1,1,1,1
形状,32,54,25,101,166,74
正方形,34,87,17,63,187,34
等边,2,4,1,4,8,3
狐狸精,6,11,4,10,25,6
三角关系,1,1,1,1,2,0
定理,10,13,7,21,34,15
稳定,40,70,25,114,248,75
理论,45,65,32,125,190,95
几何,39,68,28,87,187,52
三角函数,4,5,3,8,11,5
沙洲,3,3,3,4,4,4
四方,7,8,6,11,12,10
度数,6,6,6,21,28,17
形,3,5,2,8,12,6
讨厌,219,402,160,615,1112,429
稳定性,2,2,2,2,3,1
坚固,21,37,17,61,111,44
公式,28,44,18,83,139,52
函数,21,32,16,54,88,42
尖角,4,4,4,5,5,5
关系,157,378,92,381,906,232
图形,16,32,10,43,97,29
勾股定理,2,4,1,6,13,3
直角尺,1,1,1,1,1,1
三角铁,3,4,2,7,9,5
bill,1,1,1,2,2,2
疼,157,358,94,304,730,182
四边形,4,5,3,6,14,1
圆形,67,132,50,146,321,93
稳固,5,10,2,23,40,14
等边三角形,2,3,1,2,4,1
立,6,15,3,10,28,5
长方形,15,43,8,43,103,32
菱形,4,4,4,14,26,9
矩形,9,14,6,26,44,15
面积,20,52,14,55,128,42
等腰,1,1,1,2,3,1
角,27,66,15,53,133,31
三脚架,4,4,4,8,9,7
梯形,2,2,2,9,10,8
分类,13,48,8,55,122,39
木棍,8,8,8,21,26,17
角度,22,29,19,49,90,35
轮子,22,48,12,47,110,27
收废品,1,1,1,3,5,2
观光,5,6,4,13,19,9
轮胎,22,43,16,52,107,35
不安全,8,8,8,31,31,31
苦力,11,14,9,20,26,16
老大爷,6,8,5,12,14,11
破板,1,1,1,1,1,1
电瓶车,3,3,3,9,9,9
老爷爷,15,26,11,41,63,34
黄鱼车,1,1,1,3,3,3
非法,15,23,11,39,57,28
人力,7,10,5,27,37,24
老汉,3,3,3,6,6,6
车夫,4,14,2,7,27,5
很累,12,13,11,27,30,24
司机,46,143,21,87,313,46
老师机,2,2,2,2,2,2
禁止,45,76,31,112,212,68
童年,79,126,59,256,455,179
老王,6,6,6,14,15,13
三个轮子,1,1,1,1,1,1
蹬,1,1,1,2,2,2
人力车,1,1,1,3,3,3
运输,26,46,17,67,131,47
骆驼祥子,6,7,5,9,12,8
自行车,57,140,40,158,337,116
妈,25,71,17,51,110,40
公路,34,66,30,111,181,84
底层,6,10,5,24,30,23
苦,50,127,32,129,318,85
三蹦子,1,1,1,4,4,4
独轮车,2,2,2,4,5,3
黄包车,3,5,2,8,11,6
夫,5,5,5,8,10,6
板的,1,1,1,1,1,1
三轮电动车,1,1,1,1,1,1
拉活,1,1,1,1,1,1
下,27,84,13,57,142,37
取,5,13,3,12,21,10
做,54,66,44,101,137,76
上天,16,18,14,34,41,31
位置,39,57,30,120,173,91
上下,15,45,6,34,102,22
上面,17,37,13,30,82,17
车,232,556,136,440,1054,256
冲锋,9,16,6,19,43,11
床,102,252,65,234,613,138
上楼,6,8,4,9,17,4
月,21,63,15,45,110,35
上床,14,17,12,30,37,24
欢愉一番,1,1,1,1,1,1
高,178,425,104,330,829,191
学,21,48,14,44,82,35
左右,20,92,14,44,139,29
上下铺,2,2,2,7,8,6
忐忑,14,18,12,32,41,29
电梯,31,66,19,78,179,51
upstairs,1,1,1,1,1,1
楼梯,27,93,14,60,196,39
浮动,6,6,6,13,16,10
走动,4,4,4,13,15,11
上下楼,1,1,1,1,1,1
不分上下,1,1,1,2,2,2
床铺,11,12,10,29,34,26
攻受,4,5,3,9,12,6
编译原理,1,1,1,1,1,1
联想,176,267,135,268,416,206
推理,27,39,22,87,146,63
阅读理解,6,9,5,16,28,13
背景,14,17,12,55,67,48
根据,3,7,2,15,22,14
全文,5,12,4,8,24,6
联系,50,108,34,163,284,130
上下文无关,1,1,1,1,1,1
语义,2,3,1,5,8,3
语境,2,2,2,5,7,4
不通,2,2,2,5,6,4
切换,3,3,3,7,8,6
阅读,43,90,19,119,241,78
字义,1,1,1,1,1,1
前后文,1,2,0,1,2,0
语文,84,205,50,194,469,126
语文阅读,2,2,2,3,3,3
文章,96,189,62,203,448,132
英语,112,398,70,263,843,172
联系紧密,1,1,1,1,1,1
段落,5,5,5,26,41,17
进程,9,11,7,21,26,17
结合,9,12,8,31,42,23
背诵,18,53,11,52,140,32
承上启下,1,1,1,5,7,3
雅思,8,13,6,23,37,16
上下求索,1,1,1,1,1,1
箭头,13,18,9,35,48,27
火箭,29,70,23,64,159,43
气流,4,6,3,17,23,16
下降,24,40,19,58,103,40
红旗,38,129,25,82,222,59
热气球,8,16,5,25,43,21
起步,2,2,2,10,11,9
气球,59,91,42,128,252,86
人气,3,3,3,17,18,16
翼装,1,1,1,3,3,3
漂浮,11,16,10,48,67,40
瀑布,18,35,15,47,77,42
杯子,60,105,40,123,257,81
水平面,4,5,3,6,9,4
up,4,5,3,8,10,6
升华,6,7,5,18,22,16
名次,10,14,7,34,61,19
国旗,49,165,22,97,335,54
海绵,12,13,11,28,46,24
木星,4,4,4,6,7,5
月亮,93,270,52,238,646,162
事业上升期,1,1,1,1,1,1
房价,18,35,12,50,118,24
职位,25,36,19,75,116,55
正主,1,1,1,1,1,1
大气,30,54,22,76,135,53
气温,7,7,7,27,39,20
趋势,9,15,7,33,45,28
渠道,8,8,8,23,31,17
偶像,65,128,48,185,327,140
上升期,1,1,1,1,1,1
螺旋,13,15,11,24,32,18
上课,106,231,75,252,552,168
早茶,4,8,1,8,22,4
下午,11,34,9,39,81,29
困,59,147,37,146,345,95
上班,75,134,47,179,330,115
午前,2,2,2,2,2,2
工作学习,1,1,1,3,3,3
中午,9,21,6,29,64,24
早上,33,64,21,67,129,46
喝茶,17,29,11,37,70,23
午饭,19,39,11,45,88,28
肯德基,30,64,21,52,151,33
茶,45,73,28,97,203,62
卫生纸,14,24,11,27,57,18
大号,7,18,5,8,27,5
卫生间,20,33,13,43,78,28
尿尿,6,15,2,12,28,7
尿急,6,12,3,11,17,8
解决,49,84,32,128,255,90
臭,80,244,44,161,489,94
急,16,18,14,39,57,29
生理期,9,12,7,21,29,17
厕纸,5,8,3,12,21,8
肾亏,4,5,3,4,6,3
内急,3,3,3,3,3,3
蹲坑,3,5,1,4,9,1
拉屎,14,19,9,27,49,14
入厕,1,1,1,1,1,1
生理,37,42,33,75,98,63
手纸,7,13,4,17,27,12
洗手,12,31,4,32,82,17
三急,2,2,2,2,2,2
高潮,14,42,10,27,60,22
结伴,3,3,3,8,8,8
没有纸,1,1,1,1,1,1
便秘,4,6,3,16,24,10
如厕,2,2,2,3,4,2
肚子疼,15,17,13,36,48,29
去卫生间,1,1,1,1,1,1
召唤,6,11,4,8,19,4
大便,20,36,16,33,63,23
纸巾,29,49,20,78,153,52
憋得慌,1,1,1,2,2,2
不想,25,32,20,69,87,60
离开一会,1,1,1,1,1,1
秦始皇,26,72,17,62,159,40
洗手间,9,15,7,19,37,13
下属,7,21,2,28,53,21
老板,89,188,61,216,470,144
司空,1,1,1,1,1,1
不喜欢,55,58,53,236,267,215
吐司,6,8,5,10,24,7
顶头上司,1,1,1,1,1,1
服从,31,67,23,65,156,40
帅,71,114,48,195,308,149
女的,33,61,29,65,100,58
领导,136,303,86,355,851,219
顶头,1,1,1,1,1,1
工资,92,195,67,226,534,145
总裁,24,65,19,51,112,38
老大,18,38,13,41,86,30
女,94,149,83,201,317,165
上路,2,2,2,9,9,9
公司,207,525,116,399,1088,219
老,63,93,46,129,200,91
黑西装,4,4,4,7,8,6
严厉,33,54,26,76,147,50
剥削,13,25,7,36,70,25
刁难,2,3,1,7,10,6
可怕,218,306,172,557,850,415
暴跳如雷,3,5,2,5,12,3
绳索,25,34,22,44,69,35
上吊绳,1,1,1,1,1,1
绳子,57,126,38,111,266,70
自杀,59,227,43,157,422,116
死掉,2,2,2,6,6,6
拉钩,3,3,3,5,6,4
尴尬,94,182,67,236,483,161
白绫,2,3,1,3,8,2
没死,1,1,1,1,2,0
死亡,324,715,205,850,1924,538
拉勾,2,2,2,5,6,4
古代,128,193,92,309,550,205
不如去死,1,1,1,1,1,1
吊死鬼,1,1,1,2,4,1
不好的事,7,7,7,17,18,16
勒紧,1,1,1,2,2,2
死人,60,94,41,122,186,91
拉钩上吊,1,1,1,1,1,1
古装剧,9,10,8,30,34,26
自缢,1,1,1,1,1,1
绳,9,11,8,22,26,20
入地,1,17,0,1,19,0
飞,71,125,47,155,315,95
微博,77,260,47,167,480,109
飞船,17,33,8,44,116,30
下海,4,11,2,11,23,9
窜天猴,1,1,1,4,4,4
与太阳肩并肩,1,1,1,1,1,1
飞机,121,585,59,300,1199,180
天宫一号,1,1,1,3,4,2
上帝,40,97,21,89,226,53
祈祷,21,30,15,58,90,44
杨利伟,6,22,3,8,35,4
入,4,7,2,12,19,10
天上人,1,1,1,1,1,1
嫦娥,6,8,5,19,55,9
苍天,2,2,2,5,5,5
遁地,1,1,1,2,4,1
卫星,21,41,15,41,105,23
神州,1,1,1,9,11,7
送你,2,2,2,2,2,2
下地,1,1,1,5,7,3
阿童木,3,3,3,7,7,7
炸,22,35,12,48,80,34
流行,21,24,19,87,123,70
不,51,71,43,103,146,84
火车,95,321,52,195,664,121
住宿,13,21,9,27,50,21
书包,23,43,16,68,123,52
现在,56,97,45,116,225,86
学习,339,687,227,807,1805,522
儿歌,4,5,3,15,18,13
正在,2,2,2,6,7,5
好玩,54,76,43,156,225,128
书本,94,145,69,224,366,157
早起,25,31,20,61,89,45
愉悦,29,38,24,147,198,119
读书,76,115,65,175,282,131
下课,11,21,8,29,57,22
迟到,45,83,27,102,204,69
放学,11,13,9,36,46,30
烦躁,99,164,67,283,514,195
校,2,2,2,2,2,2
坐车,14,14,14,33,34,32
不想去,4,4,4,9,9,9
股票,47,202,22,103,394,65
股份,2,5,0,10,21,7
股市,20,40,16,41,80,29
鸡,77,231,52,131,367,81
上海,83,138,58,187,334,134
华尔街,3,3,3,15,19,12
投行,2,2,2,6,6,6
入股,3,3,3,3,5,1
股市屏幕,1,1,1,1,1,1
美国,167,510,93,349,1082,208
资本,30,45,19,97,145,72
经济,136,292,83,303,672,186
金钱利益,1,1,1,1,1,1
市场,57,119,39,161,304,115
上市公司,2,2,2,2,2,2
商品,64,117,41,149,305,87
新品,1,1,1,9,9,9
IPO,1,1,1,1,3,0
白云,29,110,22,92,233,67
噢天啊,1,1,1,1,1,1
天堂,19,44,14,62,126,45
命运,45,74,34,158,252,121
魔鬼,19,52,11,51,108,40
信仰,50,102,36,133,288,95
耶稣,37,125,18,71,275,35
不需要,8,11,5,23,30,19
老天爷,5,5,5,5,5,5
尼亚方舟,1,1,1,1,1,1
宗教,75,208,38,159,484,87
十字架,26,76,13,46,169,26
创造,39,66,32,91,159,66
女娲,7,9,5,17,25,12
背叛,41,67,27,137,217,107
死了,32,36,28,75,85,66
无神论,2,3,1,13,16,12
视角,9,12,7,20,30,17
狼人,13,21,9,29,51,19
基督教,38,108,16,63,222,28
god,1,1,1,3,3,3
天使,55,153,38,124,322,88
教徒,12,24,6,18,43,8
神仙,24,35,18,52,96,31
天呐,5,6,4,11,15,8
OMG,1,1,1,2,2,2
夜晚,100,144,77,290,506,208
性,137,246,98,262,500,175
床单,14,21,10,37,78,23
下床,1,2,0,1,4,0
性关系,1,1,1,6,6,6
睡,29,52,21,70,99,60
坐爱,1,1,1,1,1,1
性生活,11,11,11,22,25,20
下桌,1,1,1,1,1,1
