Responses,Types_R1,Tokens_R1,Hapax_R1,Types_R123,Tokens_R123,Hapax_R123
浓密,8,9,7,13,32,7
眉毛,14,16,13,45,55,38
阴毛,2,2,2,3,6,2
澡堂,7,11,6,14,26,9
腿毛,4,4,4,12,18,7
阴,5,7,3,12,17,9
鼻毛,3,8,2,6,16,3
立方,3,14,1,4,22,2
立方体,17,31,13,29,67,20
容积,4,7,1,6,12,3
球形,6,6,6,11,11,11
压制,11,14,8,23,30,17
星系,7,8,6,18,23,14
系统生物学,1,1,1,1,1,1
框架,13,24,9,45,74,36
认知,20,24,16,79,94,67
派系,2,2,2,6,8,5
太阳系,6,8,4,21,32,14
质量管理,1,1,1,1,1,1
体制内部,1,1,1,1,1,1
辣鸡,7,9,5,35,37,33
司法,10,11,9,38,45,32
f64d92771eb69ae92b3f21e71ff64ce6,26,85,16,93,216,68
运动场,4,4,4,17,20,15
排球,19,51,10,54,119,36
跳绳,12,36,8,24,77,13
跳高,12,46,9,24,84,14
体彩,1,1,1,3,5,2
有益健康,2,2,2,2,2,2
张丹,1,1,1,1,1,1
成都,21,34,16,51,85,40
被占用,1,1,1,1,1,1
泳衣,6,10,3,21,38,15
sport,1,1,1,1,1,1
课间操,3,3,3,4,4,4
健美操,2,3,1,4,7,3
激情澎湃,1,1,1,3,3,3
不去,5,6,4,12,14,10
打篮球,5,5,5,13,13,13
球类运动,3,3,3,4,4,4
山楂片,1,1,1,1,1,1
户外,15,16,14,34,39,30
跑道,19,26,13,31,64,17
文艺课,1,1,1,1,1,1
自习,5,7,4,18,26,14
学妹,5,5,5,10,10,10
设身处地,3,5,2,6,10,3
谅解,6,12,4,16,24,13
关怀,9,14,6,36,48,26
体会,9,9,9,26,34,23
换位思考,3,4,2,14,20,11
体察,1,1,1,2,3,1
凉念,1,1,1,1,1,1
CPU,3,4,2,4,5,3
生命值,2,2,2,2,2,2
肤质,3,3,3,5,6,4
血型,6,13,2,18,35,13
虚弱,12,23,8,38,72,27
寒湿,1,1,1,1,1,1
加点,2,4,1,2,5,1
看人,2,3,1,3,4,2
增强,4,5,3,10,17,7
羸弱,8,10,6,10,19,5
孱弱,6,7,5,15,19,12
敏感,27,35,21,62,85,48
弱柳扶风,2,2,2,3,3,3
入微,4,20,1,4,22,1
呵护,10,11,9,30,38,26
帅哥,55,80,47,172,256,140
暖男,5,5,5,12,14,10
贴心,7,13,3,20,39,13
洗碗机,3,5,2,9,11,8
热水,28,45,19,67,134,37
照顾,13,18,9,64,98,43
为人考虑,1,1,1,1,1,1
一个人的名字,2,2,2,3,3,3
暖,24,32,20,70,92,59
快乐大本营,7,13,5,10,27,5
减肥,66,149,42,190,503,122
超标,7,10,5,12,16,10
轻,20,38,13,58,95,42
过重,1,1,1,1,1,1
轻重,4,4,4,15,15,15
体重秤,2,5,0,5,12,2
偏高,2,2,2,4,4,4
称重,6,6,6,12,19,8
很轻,2,2,2,2,2,2
减轻,8,12,4,10,16,6
瘦身,7,9,6,18,23,15
上称,1,1,1,1,1,1
超重,4,8,2,12,18,9
审美偏差,1,1,1,1,1,1
重量级,1,1,1,1,1,1
偏胖,1,1,1,2,2,2
应试,4,4,4,7,7,7
于文文,2,5,1,3,8,2
一首歌,6,6,6,24,25,23
领带,19,61,8,47,146,28
着装,7,9,5,24,32,17
有尊严,1,1,1,1,1,1
崭新的衣服,1,1,1,1,1,1
光鲜,7,13,5,15,24,12
直接,13,42,8,34,77,25
面子,10,11,9,40,61,31
体贴,11,17,8,43,67,36
好工作,1,1,1,2,2,2
西服,24,34,19,57,83,45
用户体验,2,4,1,4,6,3
时刻,20,25,18,43,62,36
深度,19,43,13,57,99,46
试用,2,2,2,7,10,5
vr,3,4,2,5,8,4
快感,12,14,10,31,35,28
模拟人生,2,2,2,6,7,5
试睡员,1,1,1,1,1,1
山峰,32,76,21,58,137,36
按摩椅,2,2,2,3,5,2
一把,3,3,3,5,5,5
爱的初体验,1,1,1,1,1,1
外出,7,9,6,28,32,25
动感,7,8,6,15,18,13
余晖,3,10,2,7,17,5
火,112,279,68,252,616,159
燃烧,38,86,25,78,217,42
未灭,1,1,1,2,2,2
燃烟,1,1,1,1,1,1
余华,4,13,3,9,23,8
火光,15,15,15,36,42,30
余灰,1,1,1,1,2,0
小说名称,1,1,1,1,1,1
灰烬,9,15,6,21,44,15
烟灰,6,8,4,13,22,9
化为灰烬,1,1,1,2,2,2
余温,1,1,1,2,2,2
惠,2,2,2,2,2,2
余生,3,3,3,6,7,5
着火,18,29,13,38,62,29
账户,10,11,9,20,26,16
余额宝,4,7,3,8,17,4
剩余,5,12,1,13,23,9
零,10,12,8,30,41,22
通货膨胀,8,9,7,23,33,18
宝,9,22,6,20,38,14
皈依,1,1,1,3,3,3
本生,1,1,1,1,1,1
佛法,2,2,2,4,5,3
佛像,8,17,4,18,40,10
菩萨,16,58,9,34,114,16
金身,1,2,0,2,3,1
缘法,1,1,1,1,1,1
弥勒佛,4,4,4,9,12,7
极乐,3,3,3,3,3,3
偈,1,1,1,1,1,1
释迦摩尼,4,7,2,5,13,2
佛珠,5,6,4,7,17,3
玉,19,38,13,45,94,32
出家,4,5,3,13,21,8
金色,75,105,59,175,274,129
孙悟空,37,115,26,76,235,48
金光,4,6,2,9,12,7
弥勒,2,2,2,3,4,2
阿弥陀佛,6,10,4,9,18,6
神龛,1,1,1,2,3,1
佛陀,3,3,3,7,9,6
金佛,1,2,0,1,2,0
菩提,2,2,2,9,9,9
如来佛,3,3,3,6,7,5
敦煌,3,3,3,13,18,10
洛阳,7,9,5,18,27,14
南无阿弥陀佛,2,2,2,4,4,4
拜,3,5,2,7,11,5
如来,3,13,0,8,32,4
乐山,2,3,1,3,4,2
合十,2,2,2,5,5,5
金光闪闪,5,5,5,16,16,16
悟空,13,15,11,20,33,12
陶瓷,23,37,18,55,122,29
舍利子,1,1,1,1,2,0
金黄,19,39,12,53,114,36
进,6,27,3,7,39,3
佛龛,1,2,0,2,3,1
庙,13,16,12,20,35,14
金闪闪,9,10,8,19,22,16
金,47,81,36,108,190,82
私怨,1,1,1,1,1,1
释迦牟尼,1,1,1,3,6,2
释加牟尼,1,1,1,2,2,2
释迦,2,2,2,2,2,2
念经,3,3,3,14,24,9
圣徒,1,1,1,5,5,5
藏传,1,1,1,1,1,1
忏悔,9,13,7,29,40,22
异教徒,2,3,1,5,6,4
佛教徒,2,2,2,2,2,2
印度教,1,1,1,2,2,2
归一,1,1,1,3,3,3
般若,1,1,1,2,2,2
尼姑,5,9,3,15,31,9
虔诚,9,10,8,35,70,19
祖先,11,17,9,22,36,18
西天,4,4,4,5,6,4
好运,20,49,11,40,106,25
野田洋次郎,1,1,1,3,3,3
佐藤二郎,1,1,1,1,1,1
如来佛祖,1,1,1,3,3,3
做作,15,25,11,53,74,44
作死,9,17,7,29,44,25
作天作地,1,2,0,2,3,1
业,6,7,5,14,22,10
性格恶劣,1,1,1,1,1,1
矫情,22,45,17,60,96,50
作品,35,69,23,85,166,59
作贱,1,1,1,1,1,1
自作自受,6,12,3,16,31,12
作者,22,32,17,59,96,44
难搞,3,3,3,15,16,14
装逼,32,39,29,79,106,64
女利,1,1,1,1,1,1
通宵,5,6,4,23,25,22
homework,1,1,1,1,2,0
抄,3,3,3,8,10,6
死线,19,30,11,47,78,35
