node_index,node,feature_kappa,feature_entropy_norm,feature_c_ent,feature_valence,feature_poincare_x,feature_poincare_y,feature_log_degree,feature_eta_local
170,go,-0.2083335,0.7991318,-0.08369515,0.33,-0.6956933,-0.0887232,0.080952615,-0.8047767
171,god,0.18750025,0.9154879,0.031692076,0.225,0.08342174,-0.8078253,0.080952615,-0.14018692
172,gold,-0.24867767,0.95970726,-0.020039808,0.57,0.48863053,0.0673451,-0.14336532,-0.75233644
173,good,-0.31,0.76532847,-0.14549635,0.7225,0.4494079,-0.4244746,0.25494713,-0.64416754
174,government,0.1666665,0.79310924,0.06896353,-0.305,0.057861198,0.55181855,-0.45952368,-0.72108763
175,grass,0.1,0.0,0.2,0.3675,-0.21963441,-0.7620866,-1.0,-0.8172378
176,great,-0.16875,0.93913025,-0.02054355,0.625,-0.39055237,0.5002251,0.080952615,-0.5057113
177,green,-0.2827579,0.8061329,-0.10963491,0.3225,-0.2200031,-0.7580288,0.79542345,-0.6342852
178,group,-0.2083335,0.99998176,-7.5897824e-06,0.195,-0.049155436,0.69590634,-0.45952368,-0.72108763
179,guitar,0.201389,0.9993613,0.0002572593,0.525,-0.11829498,0.7699606,-0.45952368,0.048113532
180,gun,-0.2083335,0.8497511,-0.06260374,-0.335,-0.14876449,0.7928425,-0.45952368,-0.72108763
181,hair,-0.2916665,0.96471554,-0.020582581,0.295,0.073545784,-0.6879472,0.080952615,-0.8047767
182,hand,-0.055555668,0.9380445,-0.006883958,0.225,-0.50887287,-0.1962901,-0.14336532,-0.75233644
183,happy,-0.2083335,0.88388896,-0.04837964,0.8675,-0.33791763,-0.5292996,0.080952615,-0.8047767
184,hard,-0.4544047,0.86310077,-0.124415316,-0.1625,0.22340496,-0.13548546,0.79542345,-0.9588407
185,hat,0.25,0.8721618,0.063919105,0.1725,0.3439283,-0.7192646,-0.45952368,0.048113532
186,hate,-0.2708335,0.54356444,-0.24723607,-0.76,-0.1530426,-0.4060589,-0.45952368,-0.72108763
187,head,-0.29166666,0.9067265,-0.05440954,0.215,0.34455872,-0.71137124,0.397111,-0.7430648
188,health,-0.275,0.9205167,-0.04371579,0.4625,0.4885235,-0.28025767,-0.45952368,-0.72108763
189,heart,-0.361111,0.72730917,-0.19694334,0.4875,-0.15001483,-0.29347977,-0.14336532,-0.75233644
190,heat,0.08333325,0.92538095,0.012436491,-0.0575,0.53274935,0.6074884,0.080952615,0.79023886
191,heavy,-0.357143,0.8487286,-0.10805106,-0.055,0.22533625,0.38729823,-0.14336532,-0.75233644
192,help,0.333333,0.0,0.666666,0.4875,0.29903227,0.14518933,-1.0,-0.8172378
193,high,-0.33333367,0.9458551,-0.03609666,0.1925,-0.044304572,0.13436098,-0.14336532,-0.75233644
194,hit,-0.2666665,0.9957275,-0.0022786907,-0.2625,-0.6565464,-0.11412156,-0.45952368,-0.72108763
195,home,-0.44583318,0.62293756,-0.33621392,0.62,-0.50307745,-0.3235351,0.397111,-0.90049314
196,honest,0.125,0.9881824,0.0029543901,0.79,0.33136582,-0.49656335,-0.45952368,-0.72108763
197,horse,0.1944445,0.90438145,0.037185,0.2625,-0.7331467,0.27225962,-0.45952368,0.048113532
198,hot,-0.15524688,0.90129125,-0.030648444,0.1825,0.54056585,0.59205574,0.71326935,-0.40186915
199,house,-0.49479175,0.68449,-0.3122235,0.5475,-0.6758664,-0.2053448,0.6214289,-0.97179025
200,ice,-0.1666665,0.70883566,-0.097054675,0.265,0.3643932,0.67935455,-0.45952368,-0.72108763
201,ice cream,-0.3444445,0.82805574,-0.11845052,0.0,0.6200235,0.4438378,-0.45952368,-0.72108763
202,idea,0.25,0.0,0.5,0.5125,0.63813066,-0.47224677,-1.0,-0.8172378
203,idiot,0.5,0.925686,0.07431401,-0.4925,0.62548286,-0.42539975,-0.45952368,0.048113532
204,illness,0.375,0.8602859,0.1047856,-0.7625,-0.5511495,0.18995251,-0.45952368,0.048113532
205,indian,-0.294872,0.99677163,-0.0019039134,0.0,0.7065648,0.17203124,-0.45952368,-0.72108763
206,insect,0.05,0.5335478,0.04664522,-0.1425,-0.37314948,0.5085831,-0.14336532,-0.298027
207,instrument,-0.079861,0.89626956,-0.016568031,0.42,-0.112947375,0.76112086,0.080952615,-0.14018692
208,internet,0.5,0.0,1.0,0.42,-0.537057,0.52901065,-1.0,-0.8172378
209,iron,-0.3285715,0.8453509,-0.10162655,0.0075,0.2058006,0.4642543,-0.45952368,-0.72108763
210,island,-0.16666667,1.0,-7.401487e-17,0.545,0.25454912,0.69540757,-0.14336532,-0.298027
211,jail,0.42222235,0.4361813,0.4761137,-0.7725,0.0037972983,0.5836715,-0.14336532,0.28608516
212,jesus,0.25,0.0,0.5,0.0,0.08488181,-0.81409824,-1.0,-0.8172378
213,job,0.166667,0.0,0.333334,0.16,0.23542313,-0.1429317,-1.0,-0.8172378
214,join,0.333333,0.0,0.666666,0.2075,-0.14002678,-0.4084089,-1.0,-0.8172378
215,kind,0.25,0.0,0.5,0.695,0.50149757,-0.4754398,-1.0,-0.8172378
216,king,0.0,0.50443983,0.0,0.25,-0.62763107,0.3896375,-0.45952368,-0.72108763
217,knife,0.0,0.89843315,0.0,-0.1675,0.059288017,-0.68092394,-0.45952368,-0.72108763
218,knowledge,-0.416667,0.9267193,-0.061067298,0.57,0.58000326,-0.34587464,-0.14336532,-0.75233644
219,language,-0.27777767,0.9447852,-0.030674892,0.345,-0.20286539,0.1695605,-0.14336532,-0.75233644
220,large,-0.07083325,0.73192173,-0.03797771,0.1925,-0.3984038,0.5061691,0.080952615,0.29179648
221,laugh,-0.013889,0.7780486,-0.006165366,0.64,-0.3102738,-0.5422336,-0.14336532,-0.75233644
222,law,0.138889,0.99230295,0.002138073,-0.1125,0.61816424,0.03722436,-0.14336532,-0.298027
223,lawyer,0.138889,0.9629467,0.010292588,-0.265,0.6334891,0.01917358,-0.14336532,-0.298027
224,lazy,-0.42222235,0.9850568,-0.012618687,-0.4875,-0.6175566,0.2586424,-0.14336532,-0.75233644
225,leader,0.333333,0.0,0.666666,0.31,0.36858293,-0.15280965,-1.0,-0.8172378
226,leave,0.25,0.0,0.5,-0.08,-0.69795316,-0.0865823,-1.0,-0.8172378
227,letter,-0.125,0.7575666,-0.060608353,0.17,0.28502274,-0.15997022,0.080952615,-0.8047767
228,lie,-0.20833333,0.9391653,-0.025347788,-0.6525,0.32742125,-0.47091332,-0.14336532,-0.75233644
229,life,-0.275,0.55357236,-0.24553521,0.42,0.4281654,0.21302699,-0.45952368,-0.72108763
230,light,-0.28554428,0.8385902,-0.09217929,0.3875,0.40455788,0.37327054,0.51730883,-0.5251817
231,like,-0.1875,0.7284505,-0.10183107,0.61,-0.17269003,-0.34510532,-0.45952368,-0.72108763
232,lion,-0.15,0.9366674,-0.018999785,0.21,-0.64364684,0.38107762,-0.45952368,-0.72108763
233,long,-0.2333335,0.47983202,-0.24274524,0.0,-0.26519784,0.25859684,-0.45952368,-0.72108763
234,look,0.0,0.5509394,0.0,0.2375,0.03765875,-0.27990007,-0.14336532,-0.298027
235,lost,0.5,0.0,1.0,-0.6175,0.009266868,-0.25779775,-1.0,-0.8172378
236,loud,0.097222,0.70638585,0.05709151,0.0,-0.14809565,0.8156109,0.080952615,0.29179648
237,love,-0.40625012,0.88795954,-0.0910329,0.75,-0.18403795,-0.32723662,0.6214289,-0.97179025
238,machine,-0.34127,0.99083465,-0.006255707,0.0,-0.1298416,0.6485543,-0.14336532,-0.75233644
239,mad,-0.055555668,0.79805225,-0.022438684,-0.6325,-0.15287758,-0.42160922,-0.14336532,-0.75233644
240,mail,-0.275,0.6789539,-0.17657536,0.32,0.369187,-0.16044007,-0.45952368,-0.72108763
241,man,-0.4666668,0.5522582,-0.4178925,0.105,0.38165176,-0.20280905,0.25494713,-0.8556979
242,map,0.25,0.0,0.5,0.2025,-0.45158684,-0.16750078,-1.0,-0.8172378
243,marriage,-0.277778,0.79888487,-0.111730725,0.64,-0.13732344,-0.30110437,-0.14336532,-0.75233644
244,math,-0.2,0.74609625,-0.10156149,-0.1375,0.2751859,-0.15027831,-0.45952368,-0.72108763
245,me,0.16666633,0.60435677,0.1318808,0.0,0.2712619,0.13197373,-0.14336532,-0.75233644
246,mean,0.25,0.91375643,0.043121785,-0.6425,-0.12544502,-0.41544452,-0.45952368,-0.72108763
247,meat,0.1403845,0.89974374,0.028148845,0.405,0.75383854,0.275195,-0.45952368,0.048113532
248,medicine,-0.25,0.8456227,-0.07718865,0.225,0.59920514,-0.036234714,0.080952615,-0.8047767
249,meeting,-0.1145835,0.996307,-0.0008463059,-0.1125,0.22118258,-0.10580825,0.080952615,-0.5057113
250,metal,-0.5091839,0.94180185,-0.059267115,0.0125,0.17836839,0.40679544,0.51730883,-0.9389278
251,military,0.4166665,0.88064283,0.09946426,-0.025,-0.50304914,-0.090824716,-0.45952368,0.048113532
252,milk,-0.47460333,0.736896,-0.2497401,0.435,-0.52172905,0.41304016,-0.14336532,-0.75233644
253,mind,0.111111,0.73927057,0.05793982,0.425,0.638362,-0.47554085,-0.14336532,-0.298027
254,mine,0.333333,0.0,0.666666,0.0,0.4957208,0.068433866,-1.0,-0.8172378
